	source	target	direction	stimulation	inhibition	sources	references
21	O15350	P04637	1	0	0	BioGRID;HPRD;KEGG	BioGRID:21508668;BioGRID:9891077;HPRD:11238924;HPRD:9891077
22	P04637	O15350	1	1	0	BioGRID;HPRD;KEGG;SPIKE;Wang	BioGRID:21508668;BioGRID:9891077;HPRD:11238924;HPRD:9891077;SPIKE:18431400
23	P49841	P01106	1	0	1	ACSN;BEL-Large-Corpus_ProtMapper;ELM;HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;KEA;KEGG;MIMP;NetworKIN_KEA;PhosphoNetworks;PhosphoPoint;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;REACH_ProtMapper;RLIMS-P_ProtMapper;SIGNOR;SIGNOR_ProtMapper;SPIKE;SignaLink3;Sparser_ProtMapper;Wang;iPTMnet;phosphoELM;phosphoELM_KEA;phosphoELM_MIMP	ACSN:10671551;ACSN:11274345;ACSN:12040186;ACSN:12615961;ACSN:16039586;ACSN:16371461;ACSN:16611981;ACSN:17052453;ACSN:17444818;ACSN:18455992;ACSN:19575820;ACSN:19797085;ACSN:20080742;ACSN:20537194;ELM:14563837;HPRD-phos:18669648;HPRD-phos:19651622;HPRD-phos:20068231;HPRD-phos:2663470;HPRD:11877389;HPRD:16247449;HPRD:8247524;KEA:11018017;KEA:11877389;KEA:14563837;KEA:15150404;KEA:17081983;KEA:17570479;KEA:2663470;KEA:8247524;ProtMapper:11018017;ProtMapper:14563837;ProtMapper:15212693;ProtMapper:16023596;ProtMapper:16855632;ProtMapper:18408012;ProtMapper:18463697;ProtMapper:18679417;ProtMapper:20604938;ProtMapper:21113395;ProtMapper:21646472;ProtMapper:22461507;ProtMapper:22481935;ProtMapper:22893788;ProtMapper:23668310;ProtMapper:23964270;ProtMapper:24265759;ProtMapper:24662831;ProtMapper:25333250;ProtMapper:25647305;ProtMapper:26751215;ProtMapper:27684546;ProtMapper:29229669;ProtMapper:29258530;ProtMapper:30003124;ProtMapper:30037819;ProtMapper:30134175;SIGNOR:14563837;SIGNOR:16023596;SPIKE:20399964;SignaLink3:11018017;SignaLink3:14563837;SignaLink3:19131971;SignaLink3:21071413;SignaLink3:23331499;iPTMnet:14563837;iPTMnet:16023596;iPTMnet:18669648;iPTMnet:19651622;iPTMnet:20068231;iPTMnet:2663470;phosphoELM:14563837
24	Q92630	P04637	1	1	0	HPRD_MIMP;MIMP;NCI-PID_ProtMapper;PhosphoSite;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;RLIMS-P_ProtMapper;Reactome_ProtMapper;SIGNOR;SIGNOR_ProtMapper;SPIKE;Sparser_ProtMapper;Wang;iPTMnet;phosphoELM;phosphoELM_MIMP	PhosphoSite:10581258;PhosphoSite:11030628;PhosphoSite:11101524;PhosphoSite:11300786;PhosphoSite:11495913;PhosphoSite:11740489;PhosphoSite:11780126;PhosphoSite:11875057;PhosphoSite:12021785;PhosphoSite:12093737;PhosphoSite:12397361;PhosphoSite:12427754;PhosphoSite:12676607;PhosphoSite:12860987;PhosphoSite:12902982;PhosphoSite:12907596;PhosphoSite:14749479;PhosphoSite:15322239;PhosphoSite:15381073;PhosphoSite:15471885;PhosphoSite:15489221;PhosphoSite:15526030;PhosphoSite:15619621;PhosphoSite:15657359;PhosphoSite:15706352;PhosphoSite:15750624;PhosphoSite:15843377;PhosphoSite:15870257;PhosphoSite:15897882;PhosphoSite:16219768;PhosphoSite:16247456;PhosphoSite:16377624;PhosphoSite:16601678;PhosphoSite:16717128;PhosphoSite:16738336;PhosphoSite:16793543;PhosphoSite:17105820;PhosphoSite:17107963;PhosphoSite:17210684;PhosphoSite:17332358;PhosphoSite:17349958;PhosphoSite:17349959;PhosphoSite:17380123;PhosphoSite:17567906;PhosphoSite:17591690;PhosphoSite:17891183;PhosphoSite:17906639;PhosphoSite:18056705;PhosphoSite:18160537;PhosphoSite:18216278;PhosphoSite:18536714;PhosphoSite:18560558;PhosphoSite:18769132;PhosphoSite:19465479;PhosphoSite:19828042;PhosphoSite:19857493;PhosphoSite:19861417;PhosphoSite:19882354;PhosphoSite:19965871;PhosphoSite:20018442;PhosphoSite:20024960;PhosphoSite:20123963;PhosphoSite:20171273;PhosphoSite:20514025;PhosphoSite:20610713;PhosphoSite:20673369;PhosphoSite:20696760;PhosphoSite:20811699;PhosphoSite:20935676;PhosphoSite:20962272;PhosphoSite:21057547;PhosphoSite:21383696;PhosphoSite:21394211;PhosphoSite:21642861;PhosphoSite:21660965;PhosphoSite:21765463;PhosphoSite:21765464;PhosphoSite:22011578;PhosphoSite:22525275;PhosphoSite:22797063;PhosphoSite:22878263;PhosphoSite:23149944;PhosphoSite:23420876;PhosphoSite:24145406;PhosphoSite:24196445;PhosphoSite:24379358;PhosphoSite:24899407;PhosphoSite:25778922;PhosphoSite:25915850;PhosphoSite:25944899;PhosphoSite:26029824;PhosphoSite:26113041;PhosphoSite:26236013;PhosphoSite:26391395;PhosphoSite:26578795;PhosphoSite:27034505;PhosphoSite:27208501;PhosphoSite:28060750;PhosphoSite:29296831;ProtMapper:17349958;ProtMapper:17906639;ProtMapper:19965871;ProtMapper:24901999;ProtMapper:26087959;ProtMapper:26341817;ProtMapper:26346493;ProtMapper:26804244;SIGNOR:17349958;SPIKE:17386256;iPTMnet:17349958;iPTMnet:19965871;phosphoELM:17349958;phosphoELM:19965871
25	Q16665	Q9GZT9	1	0	0	ACSN;BioGRID;DIP;HPRD;InnateDB;IntAct;Lit-BM-17;Wang	ACSN:20028863;BioGRID:19604478;BioGRID:22946054;DIP:19604478;HPRD:15474027;HPRD:15721254;HPRD:16511565;InnateDB:17353276;InnateDB:24145445;IntAct:15474027;IntAct:16511565;IntAct:17353276;IntAct:20840591;Lit-BM-17:15474027;Lit-BM-17:15721254;Lit-BM-17:16407130;Lit-BM-17:16511565;Lit-BM-17:17353276;Lit-BM-17:18264140;Lit-BM-17:19604478;Lit-BM-17:20724477;Lit-BM-17:20840591;Lit-BM-17:23413029;Lit-BM-17:25361009;Lit-BM-17:26611735
26	Q9GZT9	Q16665	1	1	0	ACSN;BioGRID;DIP;HPRD;InnateDB;IntAct;Lit-BM-17;SPIKE;Wang	ACSN:12351678;ACSN:15652751;ACSN:15721254;ACSN:20028863;BioGRID:19604478;BioGRID:22946054;DIP:19604478;HPRD:15474027;HPRD:15721254;HPRD:16511565;InnateDB:17353276;InnateDB:24145445;IntAct:15474027;IntAct:16511565;IntAct:17353276;IntAct:20840591;Lit-BM-17:15474027;Lit-BM-17:15721254;Lit-BM-17:16407130;Lit-BM-17:16511565;Lit-BM-17:17353276;Lit-BM-17:18264140;Lit-BM-17:19604478;Lit-BM-17:20724477;Lit-BM-17:20840591;Lit-BM-17:23413029;Lit-BM-17:25361009;Lit-BM-17:26611735;SPIKE:16391536
27	Q16665	Q9H6Z9	1	0	0	ACSN;HPRD;InnateDB;IntAct;Wang	ACSN:20028863;HPRD:15474027;HPRD:15721254;HPRD:16511565;InnateDB:17353276;InnateDB:24145445;IntAct:15474027;IntAct:16511565;IntAct:17353276;IntAct:26972000;IntAct:31515488
28	Q9H6Z9	Q16665	1	0	1	ACSN;HPRD;InnateDB;IntAct;SPIKE;Wang	ACSN:12351678;ACSN:15652751;ACSN:15721254;ACSN:20028863;HPRD:15474027;HPRD:15721254;HPRD:16511565;InnateDB:17353276;InnateDB:24145445;IntAct:15474027;IntAct:16511565;IntAct:17353276;IntAct:26972000;IntAct:31515488;SPIKE:16391536
29	Q16665	Q96KS0	1	0	0	ACSN;HPRD;InnateDB;IntAct	ACSN:20028863;HPRD:11292861;HPRD:11292862;HPRD:15474027;HPRD:16511565;InnateDB:24145445;IntAct:15474027;IntAct:16511565;IntAct:17353276
30	Q96KS0	Q16665	1	0	1	ACSN;HPRD;InnateDB;IntAct;KEGG;SPIKE;Wang	ACSN:12351678;ACSN:15652751;ACSN:15721254;ACSN:20028863;HPRD:11292861;HPRD:11292862;HPRD:15474027;HPRD:16511565;InnateDB:24145445;IntAct:15474027;IntAct:16511565;IntAct:17353276;SPIKE:16391536
