"",sample,TF,activity,delta,mean_r,r,score,name,drug
"60",CPC018_A549_6H:BRD-K19284129-001-01-8:10,P17676,0.1633291,0.10665652,0.414911735727241,0.780375294187401,0.597643514957321,CEBPB,COC(=O)[C@@H]1C[C@H](OC(C)=O)C(=O)[C@H]2[C@@]1(C)CC[C@H]1C(=O)O[C@@H](C[C@]21C)c1ccoc1
"61",CPC018_A549_6H:BRD-K75641298-001-01-5:10,P17676,0.2101892,0.10747436,0.414911735727241,0.780375294187401,0.597643514957321,CEBPB,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC
"62",CPC011_A549_6H:BRD-K52662033-001-15-8:10,Q01094,0.8505889,-0.10471958,0.468515169612454,0.800238841194259,0.634377005403357,E2F1,CCN(CC)CC(=O)Nc1c(C)cccc1C
"63",CPC011_A549_6H:BRD-K57033106-003-15-5:10,Q01094,0.819925,-0.10365194,0.468515169612454,0.800238841194259,0.634377005403357,E2F1,CN(C)CCN(Cc1ccccc1)c1ccccn1
"64",CPC014_A549_6H:BRD-K23192422-001-01-1:10,Q01094,0.115682,0.12560633,0.468515169612454,0.800238841194259,0.634377005403357,E2F1,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4C(=O)NCc4c4c5ccccc5n2c4c13
"65",CPC008_A549_6H:BRD-K92817986-001-03-3:10,Q14209,0.8077735,-0.11704844,0.503702521172817,0.780915959819574,0.642309240496195,E2F2,Clc1ccc(Cl)c(SCC(=O)N\N=C\c2ccc[nH]2)c1
"66",CPC010_A549_6H:BRD-K18816859-002-04-6:10,Q14209,0.7746629,-0.10008392,0.503702521172817,0.780915959819574,0.642309240496195,E2F2,CS(=O)(=O)Nc1ccc(Cc2noc(n2)-c2ccc3[nH]cc(CCN)c3c2)cc1
"67",CPC010_A549_6H:BRD-K31471398-311-04-6:10,Q14209,0.7726527,-0.1098077,0.503702521172817,0.780915959819574,0.642309240496195,E2F2,Oc1cc2CC[C@H]3NCc4ccccc4[C@@H]3c2cc1O
"68",CPC011_A549_6H:BRD-A81233518-004-13-8:10,Q14209,0.8102705,-0.121085495,0.503702521172817,0.780915959819574,0.642309240496195,E2F2,C[N+]1(C)CCC(C1)OC(=O)C(O)(C1CCCC1)c1ccccc1
"69",CPC011_A549_6H:BRD-K21283037-003-09-6:10,Q14209,0.8008331,-0.12250647,0.503702521172817,0.780915959819574,0.642309240496195,E2F2,Nc1nc2ccc(OC(F)(F)F)cc2s1
"70",CPC011_A549_6H:BRD-K57033106-003-15-5:10,Q14209,0.8329118,-0.11948106,0.503702521172817,0.780915959819574,0.642309240496195,E2F2,CN(C)CCN(Cc1ccccc1)c1ccccn1
"71",CPC011_A549_6H:BRD-K92984783-003-04-0:10,Q14209,0.8087035,-0.12447995,0.503702521172817,0.780915959819574,0.642309240496195,E2F2,CC1CCN(CCCC(=O)c2ccc(F)cc2)CC1
"72",CPC013_A549_6H:BRD-K92428232-001-01-5:10,Q14209,0.7866018,-0.1172384,0.503702521172817,0.780915959819574,0.642309240496195,E2F2,C[C@@H](Oc1cc(sc1C(N)=O)-n1cnc2ccc(CN3CCN(C)CC3)cc12)c1ccccc1C(F)(F)F
"73",CPC018_A549_6H:BRD-K24240364-003-02-1:10,Q14209,0.7937717,-0.114763945,0.503702521172817,0.780915959819574,0.642309240496195,E2F2,CC1=NN=C(c2ccc(N)cc2)c2cc3OCOc3cc2C1
"74",CPC018_A549_6H:BRD-K50398167-236-12-8:10,Q14209,0.7916728,-0.10011083,0.503702521172817,0.780915959819574,0.642309240496195,E2F2,Cc1ccc(Cl)c(Nc2ccccc2C(O)=O)c1Cl
"75",CPC014_A549_6H:BRD-K23192422-001-01-1:10,Q08050,0.1970556,0.11140844,0.508088445981305,0.744244312327264,0.626166379154284,FOXM1,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4C(=O)NCc4c4c5ccccc5n2c4c13
"76",CPC014_A549_6H:BRD-K56957086-001-04-8:10,Q08050,0.129115,0.115187466,0.508088445981305,0.744244312327264,0.626166379154284,FOXM1,OCCN(CCc1c[nH]c2ccccc12)Cc1ccc(\C=C\C(=O)NO)cc1
"77",CPC017_A549_6H:BRD-K12867552-001-01-3:10,Q08050,0.107794,0.10916692,0.508088445981305,0.744244312327264,0.626166379154284,FOXM1,CN(C)Cc1c(oc2ccccc12)C(=O)NCCOc1ccc(cc1)C(=O)NO
"78",CPC006_A549_6H:BRD-K12502280-001-01-5:11.1,P15976,0.0654487,0.104259074,0.485434434900811,0.788744307360299,0.637089371130555,GATA1,Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(c1)S(=O)(=O)NC(C)(C)C
"79",CPC006_A549_6H:BRD-K19295594-001-08-5:11.1,P15976,0.09589438,0.10109085,0.485434434900811,0.788744307360299,0.637089371130555,GATA1,CC(C)c1c(O)c(O)c(C=O)c2c(O)c(c(C)cc12)-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O
"80",CPC006_A549_6H:BRD-K85606544-001-01-8:10,P15976,0.1321454,0.10807574,0.485434434900811,0.788744307360299,0.637089371130555,GATA1,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)\C=C\CN(C)C
"81",CPC010_A549_6H:BRD-K18816859-002-04-6:10,P15976,0.2244853,0.100168794,0.485434434900811,0.788744307360299,0.637089371130555,GATA1,CS(=O)(=O)Nc1ccc(Cc2noc(n2)-c2ccc3[nH]cc(CCN)c3c2)cc1
"82",CPC014_A549_6H:BRD-K16485616-001-03-0:10,P15976,0.8456383,-0.14108738,0.485434434900811,0.788744307360299,0.637089371130555,GATA1,Nc1ccccc1NC(=O)c1ccc(CNc2nccc(n2)-c2cccnc2)cc1
"83",CPC014_A549_6H:BRD-K53561341-001-02-6:10,P15976,0.7885458,-0.10914719,0.485434434900811,0.788744307360299,0.637089371130555,GATA1,CCN1CCN(CC1)C(=O)Cc1ccc(Nc2ncc(F)c(Nc3ccc(cc3)C(=O)Nc3ccccc3Cl)n2)cc1
"84",CPC014_A549_6H:BRD-K72420232-001-02-4:10,P15976,0.8159808,-0.12948701,0.485434434900811,0.788744307360299,0.637089371130555,GATA1,COc1cc(ccc1Nc1ncc(Cl)c(Oc2cccc(NC(=O)C=C)c2)n1)N1CCN(C)CC1
"85",CPC014_A549_6H:BRD-K73293050-001-01-5:10,P15976,0.8472859,-0.12269524,0.485434434900811,0.788744307360299,0.637089371130555,GATA1,CN1CCN(CC1)c1ccc(Nc2ncc(Cl)c(Oc3cccc(NC(=O)C=C)c3)n2)cc1
"86",CPC014_A549_6H:BRD-K83794624-001-01-7:10,P15976,0.7757526,-0.1393578,0.485434434900811,0.788744307360299,0.637089371130555,GATA1,COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O[C@@H]6CCCCO6)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)CO
"87",CPC014_A549_6H:BRD-K98684188-001-01-1:10,P15976,0.817003,-0.103577495,0.485434434900811,0.788744307360299,0.637089371130555,GATA1,COC(=O)c1sccc1S(=O)(=O)Nc1ccc(Nc2ccccc2)cc1OC
"88",CPC016_A549_6H:BRD-K04146668-001-01-3:10,P15976,0.8526171,-0.16782296,0.485434434900811,0.788744307360299,0.637089371130555,GATA1,Cn1cc(C=C2C(=O)Nc3cccnc23)c4ccccc14
"89",CPC016_A549_6H:BRD-K10042277-001-04-3:10,P15976,0.858521,-0.1266832,0.485434434900811,0.788744307360299,0.637089371130555,GATA1,Clc1ccc2Nc3ccccc3C(=Nc2c1)N1CCNCC1
"90",CPC016_A549_6H:BRD-K22010301-001-01-2:10,P15976,0.8992748,-0.14175555,0.485434434900811,0.788744307360299,0.637089371130555,GATA1,COc1oc(=O)c2cc(N)ccc2c1Cl
"91",CPC016_A549_6H:BRD-K49671696-045-03-6:10,P15976,0.8638759,-0.1277996,0.485434434900811,0.788744307360299,0.637089371130555,GATA1,Fc1ccc(cc1)C(=O)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1
"92",CPC016_A549_6H:BRD-K90789829-003-03-3:10,P15976,0.7900313,-0.12224504,0.485434434900811,0.788744307360299,0.637089371130555,GATA1,CCc1nn(CCCN2CCN(CC2)c2cccc(Cl)c2)c(=O)n1CCOc1ccccc1
"93",CPC017_A549_6H:BRD-A71262238-001-04-3:10,P15976,0.848646,-0.113420784,0.485434434900811,0.788744307360299,0.637089371130555,GATA1,CCCCN1CCCC1CNC(=O)c1cc(C#N)c2ccccc2c1OC
"94",CPC017_A549_6H:BRD-K11911061-003-02-8:10,P15976,0.8276519,-0.17078969,0.485434434900811,0.788744307360299,0.637089371130555,GATA1,COc1ccc(NC(=O)c2ccc(cc2)-c2ccc(cc2C)-c2noc(C)n2)cc1N1CCN(C)CC1
