model,cell,TF,r
Ensembles,HA1E,Q01543,0.490739267740539
Ensembles,HA1E,Q02447,0.132573407075595
Ensembles,HA1E,Q04206,0.595171423298263
Ensembles,HA1E,Q04864,0.421942645837443
Ensembles,HA1E,Q06710,0.456846009843354
Ensembles,HA1E,Q07869,0.5005629724425
Ensembles,HA1E,Q08050,0.593786746014404
Ensembles,HA1E,Q12772,-0.0070739517561399
Ensembles,HA1E,Q12778,0.546103631374473
Ensembles,HA1E,Q13127,0.63011821880634
Ensembles,HA1E,Q13469,0.376965602764022
Ensembles,HA1E,Q13485,0.449554016037678
Ensembles,HA1E,Q13761,0.092836975473543
Ensembles,HA1E,Q14186,0.330840886065773
Ensembles,HA1E,Q14209,0.527250567887494
Ensembles,HA1E,Q14765,0.2982893907286
Ensembles,HA1E,Q15672,0.432210860013651
Ensembles,HA1E,Q16236,0.456386504572518
Ensembles,HA1E,Q16665,0.134501991005498
Ensembles,HA1E,Q92731,0.417608183388837
Ensembles,HA1E,Q99626,-0.0637691664552818
Ensembles,HA1E,Q99814,0.677858478282713
Ensembles,HA1E,Q9H3D4,0.108828250233993
Ensembles,HA1E,Q9NQB0,0.472458426524678
Ensembles,HA1E,Q9UJU2,0.252960769356835
Ensembles,HA1E,Q9Y261,0.174173975387119
Ensembles,HCC515,O00327,0.454143729128736
Ensembles,HCC515,O00716,0.204183108037112
Ensembles,HCC515,O14593,0.578138915549625
Ensembles,HCC515,O43524,0.51755319959268
Ensembles,HCC515,O75030,0.217111023955727
Ensembles,HCC515,P01100,0.47645123914144
Ensembles,HCC515,P01106,0.266040537574539
Ensembles,HCC515,P03372,0.4172221093401
Ensembles,HCC515,P04150,0.546586571110698
Ensembles,HCC515,P04637,0.310993620899697
Ensembles,HCC515,P05412,0.104602235777832
Ensembles,HCC515,P05549,0.252382440676659
Ensembles,HCC515,P06401,-0.187425992164951
Ensembles,HCC515,P08047,0.597999612052536
Ensembles,HCC515,P08651,0.0318205702308009
Ensembles,HCC515,P10070,0.154886780923143
Ensembles,HCC515,P10242,0.374754620529633
Ensembles,HCC515,P10275,0.459629946352564
Ensembles,HCC515,P10276,0.19394232257649
Ensembles,HCC515,P10914,0.566190590975683
Ensembles,HCC515,P11308,0.304986561841836
Ensembles,HCC515,P11473,0.153573685271238
Ensembles,HCC515,P11831,0.373966541486667
Ensembles,HCC515,P14859,0.571155248896566
Ensembles,HCC515,P14921,0.182455950764693
Ensembles,HCC515,P15036,0.535049115189097
Ensembles,HCC515,P15336,0.593251019365865
Ensembles,HCC515,P15407,0.156284987741836
Ensembles,HCC515,P15923,0.279706857657202
Ensembles,HCC515,P15976,0.559623821929668
Ensembles,HCC515,P16220,0.488824981214288
Ensembles,HCC515,P17535,0.116926242107444
Ensembles,HCC515,P17542,0.321882409014233
Ensembles,HCC515,P17676,0.594951733776882
Ensembles,HCC515,P17947,0.421281709411181
Ensembles,HCC515,P18146,0.489271358348611
Ensembles,HCC515,P18846,0.1715306773593
Ensembles,HCC515,P18848,0.168292992406741
Ensembles,HCC515,P18850,0.432751532835382
Ensembles,HCC515,P19419,0.506682422256574
Ensembles,HCC515,P19544,0.212691068612513
Ensembles,HCC515,P19793,0.340345143727993
Ensembles,HCC515,P19838,0.515664468797415
Ensembles,HCC515,P22415,0.248309199543243
Ensembles,HCC515,P23511,0.30832773033968
Ensembles,HCC515,P23769,-0.227194785534574
Ensembles,HCC515,P23771,0.629366432935456
Ensembles,HCC515,P25490,0.44245587303476
Ensembles,HCC515,P26367,0.151979505723335
Ensembles,HCC515,P36956,0.387456748521479
Ensembles,HCC515,P37231,0.0941022725177218
Ensembles,HCC515,P37275,0.376469559714386
Ensembles,HCC515,P40763,0.166788607443041
Ensembles,HCC515,P41235,0.214978525297898
Ensembles,HCC515,P42224,0.274684872236102
Ensembles,HCC515,P42226,0.0401233532148174
Ensembles,HCC515,P42229,0.496073689660788
Ensembles,HCC515,P48382,0.50130056079494
Ensembles,HCC515,P48431,0.0284156567912384
Ensembles,HCC515,P48436,0.353699651700362
Ensembles,HCC515,P49715,0.387771656035579
Ensembles,HCC515,P49716,0.411186493336628
Ensembles,HCC515,P51692,0.451233252727735
Ensembles,HCC515,P52630,0.630045148866208
Ensembles,HCC515,P55317,0.524776948063265
