"","smile","sig_id"
"48","COCC[n+]1c(C)n(Cc2cnccn2)c2c1C(=O)c1ccccc1C2=O","CPC013_HA1E_6H:BRD-K24681473-004-01-4:10"
"49","COCC[n+]1c(C)n(Cc2cnccn2)c2c1C(=O)c1ccccc1C2=O","CPC013_HCC515_6H:BRD-K24681473-004-01-4:10"
"50","COCC[n+]1c(C)n(Cc2cnccn2)c2c1C(=O)c1ccccc1C2=O","CPC013_HEPG2_6H:BRD-K24681473-004-01-4:10"
"51","COCC[n+]1c(C)n(Cc2cnccn2)c2c1C(=O)c1ccccc1C2=O","CPC013_HT29_6H:BRD-K24681473-004-01-4:10"
"52","COCC[n+]1c(C)n(Cc2cnccn2)c2c1C(=O)c1ccccc1C2=O","CPC013_MCF7_6H:BRD-K24681473-004-01-4:10"
"53","COCC[n+]1c(C)n(Cc2cnccn2)c2c1C(=O)c1ccccc1C2=O","CPC013_PC3_6H:BRD-K24681473-004-01-4:10"
"54","COCC[n+]1c(C)n(Cc2cnccn2)c2c1C(=O)c1ccccc1C2=O","CPC013_VCAP_6H:BRD-K24681473-004-01-4:10"
"55","Nc1nc2n(CCc3ccccc3)ncc2c2nc(nn12)-c1ccco1","CPC001_HA1E_6H:BRD-K81225797-001-01-5:10"
"56","Nc1nc2n(CCc3ccccc3)ncc2c2nc(nn12)-c1ccco1","CPC001_HCC515_6H:BRD-K81225797-001-01-5:10"
"57","Nc1nc2n(CCc3ccccc3)ncc2c2nc(nn12)-c1ccco1","CPC001_PC3_6H:BRD-K81225797-001-01-5:10"
"58","Nc1nc2n(CCc3ccccc3)ncc2c2nc(nn12)-c1ccco1","CPC001_VCAP_6H:BRD-K81225797-001-01-5:10"
"59","Nc1nc2n(CCc3ccccc3)ncc2c2nc(nn12)-c1ccco1","CPC017_A375_6H:BRD-K81225797-001-01-5:10"
"60","Nc1nc2n(CCc3ccccc3)ncc2c2nc(nn12)-c1ccco1","CPC017_A549_6H:BRD-K81225797-001-01-5:10"
"61","Nc1nc2n(CCc3ccccc3)ncc2c2nc(nn12)-c1ccco1","CPC017_HEPG2_6H:BRD-K81225797-001-01-5:10"
"62","Nc1nc2n(CCc3ccccc3)ncc2c2nc(nn12)-c1ccco1","CPC017_HT29_6H:BRD-K81225797-001-01-5:10"
"63","Nc1nc2n(CCc3ccccc3)ncc2c2nc(nn12)-c1ccco1","CPC017_MCF7_6H:BRD-K81225797-001-01-5:10"
"64","Oc1ccc2[nH]c3cc(c4C(=O)NC(=O)c4c3c2c1)-c1ccccc1","CPC001_HA1E_6H:BRD-K82823804-001-01-7:10"
"65","Oc1ccc2[nH]c3cc(c4C(=O)NC(=O)c4c3c2c1)-c1ccccc1","CPC001_HCC515_6H:BRD-K82823804-001-01-7:10"
"66","Oc1ccc2[nH]c3cc(c4C(=O)NC(=O)c4c3c2c1)-c1ccccc1","CPC001_PC3_6H:BRD-K82823804-001-01-7:10"
"67","Oc1ccc2[nH]c3cc(c4C(=O)NC(=O)c4c3c2c1)-c1ccccc1","CPC001_VCAP_6H:BRD-K82823804-001-01-7:10"
"68","Oc1ccc2[nH]c3cc(c4C(=O)NC(=O)c4c3c2c1)-c1ccccc1","CPC017_A375_6H:BRD-K82823804-001-01-7:10"
"69","Oc1ccc2[nH]c3cc(c4C(=O)NC(=O)c4c3c2c1)-c1ccccc1","CPC017_A549_6H:BRD-K82823804-001-01-7:10"
"70","Oc1ccc2[nH]c3cc(c4C(=O)NC(=O)c4c3c2c1)-c1ccccc1","CPC017_HEPG2_6H:BRD-K82823804-001-01-7:10"
"71","Oc1ccc2[nH]c3cc(c4C(=O)NC(=O)c4c3c2c1)-c1ccccc1","CPC017_HT29_6H:BRD-K82823804-001-01-7:10"
"72","Oc1ccc2[nH]c3cc(c4C(=O)NC(=O)c4c3c2c1)-c1ccccc1","CPC017_MCF7_6H:BRD-K82823804-001-01-7:10"
"73","Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(c1)S(=O)(=O)NC(C)(C)C","CPC006_A375_6H:BRD-K12502280-001-01-5:11.1"
"74","Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(c1)S(=O)(=O)NC(C)(C)C","CPC006_A549_6H:BRD-K12502280-001-01-5:11.1"
"75","Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(c1)S(=O)(=O)NC(C)(C)C","CPC006_HA1E_6H:BRD-K12502280-001-01-5:11.1"
"76","Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(c1)S(=O)(=O)NC(C)(C)C","CPC006_HCC515_6H:BRD-K12502280-001-01-5:11.1"
"77","Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(c1)S(=O)(=O)NC(C)(C)C","CPC006_HEPG2_6H:BRD-K12502280-001-01-5:11.1"
"78","Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(c1)S(=O)(=O)NC(C)(C)C","CPC006_HT29_6H:BRD-K12502280-001-01-5:11.1"
"79","Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(c1)S(=O)(=O)NC(C)(C)C","CPC006_MCF7_6H:BRD-K12502280-001-01-5:11.1"
"80","Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(c1)S(=O)(=O)NC(C)(C)C","CPC006_PC3_6H:BRD-K12502280-001-01-5:11.1"
"81","Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(c1)S(=O)(=O)NC(C)(C)C","CPC006_VCAP_6H:BRD-K12502280-001-01-5:11.1"
"82","CC#CCC(C)[C@H](O)\C=C\[C@H]1[C@H](O)C[C@@H]2C\C(C[C@H]12)=C/CCCC(O)=O","AML001_PC3_6H:BRD-A45664787:10"
"83","CC#CCC(C)[C@H](O)\C=C\[C@H]1[C@H](O)C[C@@H]2C\C(C[C@H]12)=C/CCCC(O)=O","CPC013_A375_6H:BRD-A45664787-001-01-4:10"
"84","CC#CCC(C)[C@H](O)\C=C\[C@H]1[C@H](O)C[C@@H]2C\C(C[C@H]12)=C/CCCC(O)=O","CPC013_A549_6H:BRD-A45664787-001-01-4:10"
"85","CC#CCC(C)[C@H](O)\C=C\[C@H]1[C@H](O)C[C@@H]2C\C(C[C@H]12)=C/CCCC(O)=O","CPC013_HA1E_6H:BRD-A45664787-001-01-4:10"
"86","CC#CCC(C)[C@H](O)\C=C\[C@H]1[C@H](O)C[C@@H]2C\C(C[C@H]12)=C/CCCC(O)=O","CPC013_HCC515_6H:BRD-A45664787-001-01-4:10"
"87","CC#CCC(C)[C@H](O)\C=C\[C@H]1[C@H](O)C[C@@H]2C\C(C[C@H]12)=C/CCCC(O)=O","CPC013_HEPG2_6H:BRD-A45664787-001-01-4:10"
"88","CC#CCC(C)[C@H](O)\C=C\[C@H]1[C@H](O)C[C@@H]2C\C(C[C@H]12)=C/CCCC(O)=O","CPC013_HT29_6H:BRD-A45664787-001-01-4:10"
"89","CC#CCC(C)[C@H](O)\C=C\[C@H]1[C@H](O)C[C@@H]2C\C(C[C@H]12)=C/CCCC(O)=O","CPC013_MCF7_6H:BRD-A45664787-001-01-4:10"
"90","CC#CCC(C)[C@H](O)\C=C\[C@H]1[C@H](O)C[C@@H]2C\C(C[C@H]12)=C/CCCC(O)=O","CPC013_VCAP_6H:BRD-A45664787-001-01-4:10"
"91","Cc1ccc(NC(=O)c2cccc(c2)C(C)(C)C#N)cc1Nc1ccc2ncn(C)c(=O)c2c1","CPC014_A375_6H:BRD-K05804044-001-01-1:10"
"92","Cc1ccc(NC(=O)c2cccc(c2)C(C)(C)C#N)cc1Nc1ccc2ncn(C)c(=O)c2c1","CPC014_A549_6H:BRD-K05804044-001-01-1:10"
"93","Cc1ccc(NC(=O)c2cccc(c2)C(C)(C)C#N)cc1Nc1ccc2ncn(C)c(=O)c2c1","CPC014_HA1E_6H:BRD-K05804044-001-01-1:10"
"94","Cc1ccc(NC(=O)c2cccc(c2)C(C)(C)C#N)cc1Nc1ccc2ncn(C)c(=O)c2c1","CPC014_HCC515_6H:BRD-K05804044-001-01-1:10"
"95","Cc1ccc(NC(=O)c2cccc(c2)C(C)(C)C#N)cc1Nc1ccc2ncn(C)c(=O)c2c1","CPC014_HEPG2_6H:BRD-K05804044-001-01-1:10"
"96","Cc1ccc(NC(=O)c2cccc(c2)C(C)(C)C#N)cc1Nc1ccc2ncn(C)c(=O)c2c1","CPC014_HT29_6H:BRD-K05804044-001-01-1:10"
"97","Cc1ccc(NC(=O)c2cccc(c2)C(C)(C)C#N)cc1Nc1ccc2ncn(C)c(=O)c2c1","CPC014_MCF7_6H:BRD-K05804044-001-01-1:10"
"98","Cc1ccc(NC(=O)c2cccc(c2)C(C)(C)C#N)cc1Nc1ccc2ncn(C)c(=O)c2c1","CPC014_PC3_6H:BRD-K05804044-001-01-1:10"
"99","Cc1ccc(NC(=O)c2cccc(c2)C(C)(C)C#N)cc1Nc1ccc2ncn(C)c(=O)c2c1","CPC014_VCAP_6H:BRD-K05804044-001-01-1:10"
"100","CNC(=O)Nc1ccc(cc1)-c1nc(N2CC3CCC(C2)O3)c2cnn(C3CCC4(CC3)OCCO4)c2n1","CPC014_A375_6H:BRD-A45498368-001-02-2:10"
"101","CNC(=O)Nc1ccc(cc1)-c1nc(N2CC3CCC(C2)O3)c2cnn(C3CCC4(CC3)OCCO4)c2n1","CPC014_A549_6H:BRD-A45498368-001-02-2:10"
"102","CNC(=O)Nc1ccc(cc1)-c1nc(N2CC3CCC(C2)O3)c2cnn(C3CCC4(CC3)OCCO4)c2n1","CPC014_HA1E_6H:BRD-A45498368-001-02-2:10"
"103","CNC(=O)Nc1ccc(cc1)-c1nc(N2CC3CCC(C2)O3)c2cnn(C3CCC4(CC3)OCCO4)c2n1","CPC014_HCC515_6H:BRD-A45498368-001-02-2:10"
"104","CNC(=O)Nc1ccc(cc1)-c1nc(N2CC3CCC(C2)O3)c2cnn(C3CCC4(CC3)OCCO4)c2n1","CPC014_HEPG2_6H:BRD-A45498368-001-02-2:10"
